id,oldPtr,oldFields,livePtr,liveFields
1,1425a8fa0,"1,0",1425a9070,"1,4,4,4,4,0"
2,1425a8ff0,"1,4,0",1425a9160,"1,4,4,d,0"
18,1425af4a0,"1,3,4,a,8,3,2,4,14,0",1425ca340,"1,0"
19,1425af7c0,"1,3,4,2,a,0",1425ca410,"1,2,0"
1a,1425af9a0,"1,3,4,2,9,4,9,9,2,2,0",1425ca530,"1,4,0"
1b,1425b4dd0,"1,4,0",1425ca5b0,"1,0"
1c,1425b6300,"1,2,0",1425ca6d0,"1,4,0"
1e,1425b6420,"1,3,0",1425ca910,"1,4,4,0"
5c,1425bc8e0,"1,4,2,0",1425c7b70,"1,2,0"
5d,1425bc980,"1,4,4,3,0",1425c7bf0,"1,4,2,0"
5e,1425bcb20,"1,2,0",1425c7d30,"1,2,0"
5f,1425bcc20,"1,4,4,0",1425c7e00,"1,4,4,0"
60,1425bcd10,"1,4,0",1425c80b0,"1,3,0"
61,1425bce10,"1,4,2,0",1425c8200,"1,4,4,4,4,0"
62,1425bcf30,"1,4,4,0",1425c7fc0,"1,4,11,0"
63,1425bd110,"1,4,4,4,0",1425c8390,"1,4,3,5,0"
64,1425bd3a0,"1,11,0",1425c84e0,"1,4,0"
65,1425bd5b0,"1,4,0",1425c85b0,"1,4,4,4,0"
66,1425bd630,"1,0",1425c8700,"1,2,0"
67,1425bd770,"1,3,0",1425c87d0,"1,4,0"
68,1425bd870,"1,4,0",1425c9030,"1,4,0"
69,1425bd940,"1,4,0",1425c9150,"1,3,0"
6a,1425bda60,"1,4,0",1425c8b50,"1,10,0"
6b,1425bdb60,"1,4,2,4,0",1425c9250,"1,4,0"
6c,1425bdcb0,"1,4,4,0",1425c88d0,"1,2,2,0"
6d,1425bde50,"1,4,4,4,4,0",1425c8a60,"1,3,2,0"
6e,1425bdfe0,"1,4,4,4,0",1425c8b00,"1,0"
6f,1425be180,"1,4,2,0",1425c9540,"1,2,0"
70,1425be2c0,"1,4,0",1425c9370,"1,4,0"
71,1425be3e0,"1,4,4,0",1425c93f0,"1,4,0"
72,1425b8580,"1,4,2,4,0",1425c9660,"1,4,2,2,0"
73,1425b8720,"1,2,0",1425c9880,"1,4,10,10,11,0"
74,1425b8840,"1,2,2,0",1425c9a40,"1,4,4,4,4,4,0"
75,1425b8ad0,"1,2,2,2,0",1425c9c30,"1,4,0"
76,1425b8a00,"1,2,2,2,0",1425c9cb0,"1,4,0"
77,1425b8cc0,"1,4,2,0",1425c9ed0,"1,4,3,2,3,4,4,4,2,2,2,0"
78,1425b8e00,"1,0",1425cab20,"1,4,0"
79,1425b8ef0,"1,2,d,0",1425ca180,"1,3,8,d,0"
7a,1425b8f90,"1,2,0",1425cecb0,"1,4,4,2,0"
7b,1425b7e90,"1,2,10,2,0",1425cee70,"1,4,8,10,10,4,4,0"
7c,1425b7fe0,"1,2,0",1425cf0d0,"1,4,4,8,8,6,6,6,6,2,0"
7d,1425b8100,"1,2,2,0",1425cf330,"1,4,0"
7e,1425b8220,"1,2,d,0",1425cf4d0,"1,4,4,2,2,2,2,0"
7f,1425b8360,"1,2,0",1425cf6b0,"1,4,4,4,0"
80,1425b8460,"1,2,0",1425cf820,"1,4,2,0"
81,1425ba990,"1,4,0",1425cf960,"1,4,2,0"
82,1425baae0,"1,4,a,0",1425cfa80,"1,4,0"
83,1425bac20,"1,4,0",1425cfba0,"1,4,4,2,2,2,11,0"
84,1425bad40,"1,4,0",1425cfd30,"1,4,6,2,2,0"
85,1425badc0,"1,4,0",1425cff40,"1,4,6,2,0"
86,1425baf10,"1,4,0",1425d0180,"1,4,4,0"
87,1425be5c0,"1,4,0",1425d02c0,"1,4,0"
88,1425be7b0,"1,3,3,3,3,4,0",1425d0390,"1,4,0"
89,1425be8d0,"1,2,0",1425d0460,"1,4,0"
8a,1425bea20,"1,2,4,3,0",1425d0560,"1,4,0"
8b,1425beb90,"1,0",1425d05e0,"1,4,0"
8c,1425bed60,"1,2,0",1425d0820,"1,4,4,0"
8d,1425bec60,"1,4,0",1425d0960,"1,4,4,0"
8e,1425bee60,"1,2,4,0",1425d0a50,"1,4,0"
8f,1425befa0,"1,2,d,0",1425d0b50,"1,4,4,0"
90,1425bf0c0,"1,4,0",1425d1300,"1,4,4,4,11,0"
92,1425bf290,"1,0",1425d0c70,"1,5,5,4,0"
93,1425bf2e0,"1,0",1425d0fd0,"1,5,5,6,0"
94,1425bf570,"1,4,0",1425d0e10,"1,5,5,5,0"
95,1425bf690,"1,0",1425caa80,"1,4,5,0"
96,1425bf800,"1,4,0",1425caba0,"1,4,5,0"
97,1425bf9c0,"1,3,3,3,3,4,0",1425cad60,"1,4,4,0"
98,1425bfb80,"1,3,0",1425bbdf0,"1,4,5,5,4,0"
99,1425bfd90,"1,4,7,4,0",1425bbf80,"1,4,5,5,5,0"
9a,1425bff00,"1,2,11,4,0",1425bc1e0,"1,4,5,5,6,0"
9b,1425c0050,"1,0",1425bc350,"1,4,5,0"
a1,1425c01f0,"1,0",1425cb690,"1,2,2,0"
a2,1425c0330,"1,2,0",1425cb520,"1,2,2,d,0"
a3,1425c0430,"1,2,0",1425cb7d0,"1,2,2,2,10,10,10,11,11,d,0"
a4,1425c0580,"1,2,0",1425cbbf0,"1,2,2,2,0"
a5,1425c0810,"1,3,3,3,3,4,0",1425cbab0,"1,2,10,0"
a6,1425c0a20,"1,3,0",1425ce050,"1,0"
a7,1425c0b40,"1,8,0",1425ce140,"1,2,0"
a8,1425c0bc0,"1,0",1425cb180,"1,4,2,0"
a9,1425c0d50,"1,4,d,0",1425cb2c0,"1,4,2,0"
aa,1425c0e70,"1,0",1425ce260,"1,4,0"
ab,1425c1000,"1,4,4,0",1425ce380,"1,4,2,0"
ac,1425c1170,"1,4,4,0",1425d17e0,"1,4,4,4,3,3,6,0"
ad,1425c12e0,"1,3,0",1425d1a10,"1,4,4,4,0"
ae,1425c13e0,"1,3,3,3,3,0",1425d1b80,"1,3,3,3,0"
af,1425c15a0,"1,2,0",1425d1da0,"1,3,11,12,0"
b0,1425c1740,"1,4,2,4,0",1425d2150,"1,4,a,d,2,0"
b1,1425c1890,"1,0",1425d2330,"1,0"
b2,1425c19b0,"1,4,8,8,0",1425d2420,"1,4,6,0"
b3,1425c1b50,"1,4,0",1425d1ef0,"1,4,2,0"
b4,1425c1bd0,"1,4,0",1425d2030,"1,4,2,0"
b6,1425c1cd0,"1,4,10,0",1425d2960,"1,4,10,2,2,2,4,10,6,6,6,0"
b7,1425c1e90,"1,0",1425d2560,"1,4,10,2,2,2,0"
b8,1425c1f60,"1,2,0",1425d2be0,"1,4,0"
ba,1425c20d0,"1,2,0",1425d2dd0,"1,4,6,0"
bb,1425c21f0,"1,4,a,6,0",1425d2ef0,"1,4,2,3,0"
bc,1425c23b0,"1,b,4,0",1425d3060,"1,4,2,0"
bd,1425c2520,"1,2,0",1425d3220,"1,4,2,3,3,0"
be,1425c2620,"1,7,2,0",1425d33b0,"1,4,2,0"
bf,1425c27b0,"1,15,0",1425d34d0,"1,4,4,4,2,0"
c0,1425c2920,"1,2,2,2,0",1425d3660,"1,4,6,6,6,0"
c1,1425c2bd0,"1,4,0",1425d37f0,"1,4,2,0"
