ptr,ids,maxSize,defSize,fieldCount,fields,ok
14254d1c0,2ce,1028,66,10,"1,4,5,b,4,d,d,d,d,0",True
14254e6d0,1be,3,3,3,"1,2,0",True
14254e750,1bf,18,18,3,"1,b,0",True
14254e7d0,1c0,13,11,5,"1,4,4,2,0",True
14254e8a0,1c1,12,10,4,"1,4,4,0",True
14254e940,1c2,103,30,5,"1,4,b,d,0",True
14254ea10,1c3,103,30,5,"1,4,b,d,0",True
14254eae0,1c4,12,10,4,"1,4,4,0",True
14254eb80,1c5,12,10,4,"1,4,4,0",True
14254ec20,1c6,138,10,3,"1,e,0",True
14254eca0,1c7,154,26,4,"1,e,b,0",True
14254ed40,47b,15,14,4,"1,4,5,0",True
142577820,1fd,25,21,8,"1,4,4,4,2,3,4,0",True
142577960,1fe,17,14,5,"1,4,4,4,0",True
142577a30,1ff,27,22,7,"1,4,4,4,4,4,0",True
142577b50,200,12,10,4,"1,4,4,0",True
142577bf0,201,17,14,5,"1,4,4,4,0",True
142577cc0,202,7,6,3,"1,4,0",True
142577d40,4f5,12,10,4,"1,4,4,0",True
142577de0,4f6,246,47,12,"1,4,4,4,4,4,4,4,2,d,d,0",True
142578060,4f7,131,48,16,"1,4,4,4,11,4,4,2,4,4,2,4,2,2,2,0",True
1425782e0,4f8,27,22,7,"1,4,4,4,4,4,0",True
142578400,4f9,12,10,4,"1,4,4,0",True
1425784a0,4fa,7,6,3,"1,4,0",True
142578520,4fb,12,10,4,"1,4,4,0",True
1425785c0,4fc,17,14,5,"1,4,4,4,0",True
142578690,4fd,183,22,5,"1,4,d,d,0",True
142578760,4fe,17,14,5,"1,4,4,4,0",True
142578830,4ff,7,6,3,"1,4,0",True
1425788b0,500,14,12,6,"1,4,4,2,2,0",True
1425795c0,203,12,10,4,"1,4,4,0",True
142579660,204,7,6,3,"1,4,0",True
1425796e0,501,1306,27,7,"1,4,4,4,11,4,0",True
142579800,502,17,14,5,"1,4,4,4,0",True
1425798d0,503,12,10,4,"1,4,4,0",True
142579970,504,12,10,4,"1,4,4,0",True
142579cd0,513,12,10,3,"1,10,0",True
142579d50,515,17,14,5,"1,4,4,4,0",True
142579e20,516,2,2,2,"1,0",True
142579e70,517,8,7,4,"1,4,2,0",True
142579f10,518,15,14,4,"1,4,7,0",True
142579fb0,519,10,9,5,"1,2,3,4,0",True
14257a080,51a,7,6,3,"1,4,0",True
14257a100,51b,5,5,5,"1,2,2,2,0",True
14257a1d0,51c,8,7,4,"1,2,4,0",True
14257a270,51d,50,10,3,"1,10,0",True
14257a2f0,51e,8,7,4,"1,4,2,0",True
14257a390,51f,17,14,5,"1,4,4,4,0",True
14257a460,520,7,6,3,"1,4,0",True
14257a4e0,521,3,3,3,"1,2,0",True
14257a560,522,48,24,6,"1,3,3,11,11,0",True
14257a650,523,22,18,6,"1,4,4,4,4,0",True
14257a740,524,13,11,5,"1,2,4,4,0",True
14257a810,525,18,18,3,"1,b,0",True
14257a890,53b,15,14,4,"1,4,5,0",True
14257a930,526,52,50,7,"1,4,b,4,b,5,0",True
14257aa50,527,27,26,6,"1,b,4,3,3,0",True
14257ab40,528,191,11,3,"1,11,0",True
14257abc0,529,28,28,7,"1,2,2,5,5,5,0",True
14257ace0,205,7,6,3,"1,4,0",True
14257ad60,206,2,2,2,"1,0",True
14257adb0,207,4,4,3,"1,3,0",True
14257ae30,209,2,2,2,"1,0",True
14257ae80,20a,12,10,4,"1,4,4,0",True
14257af20,20b,39,38,5,"1,4,b,b,0",True
14257aff0,20c,18,18,3,"1,b,0",True
1425a6260,1,7,6,3,"1,4,0",True
1425a62e0,2,82,18,4,"1,d,d,0",True
1425a6380,3,31,14,4,"1,4,13,0",True
1425a6420,4,123,27,4,"1,14,b,0",True
1425a64c0,5,7,6,3,"1,4,0",True
1425a6540,6,3,3,3,"1,2,0",True
1425a65c0,a,147,54,7,"1,4,b,b,d,d,0",True
1425a66e0,b,7,6,3,"1,4,0",True
1425a6760,c,4113,16,4,"1,4,15,0",True
1425a6800,e,13,11,5,"1,4,4,2,0",True
1425a68d0,f,3,3,3,"1,2,0",True
1425a6950,22,7,6,3,"1,4,0",True
1425a69d0,10,17,14,5,"1,4,4,4,0",True
1425a6aa0,14,35,14,4,"1,4,d,0",True
1425a6b40,15,51,30,5,"1,4,b,d,0",True
1425a6c10,16,35,14,4,"1,4,d,0",True
1425a6cb0,17,556,23,5,"1,4,d,14,0",True
1425a6d80,18,63,22,5,"1,4,d,d,0",True
