idx,colA_tag,colA_id,colA_ptr,colB_tag,colB_id,colB_ptr
0,OK,1c,1425b6300,OK,1e,1425b6420
1,OK,1f,1425b6540,OK,20,1425b66b0
2,OK,21,1425b6840,OK,22,1425b6980
3,OK,23,1425b6a80,OK,24,1425b6b70
4,OK,25,1425b6c60,OK,26,1425b6cb0
5,OK,27,1425b6e50,OK,28,1425b6fe0
6,OK,29,1425b7130,OK,32,1425b7250
7,OK,33,1425bb300,OK,2a,1425b7350
8,OK,2b,1425b7420,OK,2c,1425b7600
9,OK,2f,1425b7720,OK,2d,1425b7820
10,OK,31,1425b7970,OK,30,1425b7ac0
11,OK,7b,1425b7e90,OK,7c,1425b7fe0
12,OK,7d,1425b8100,OK,7e,1425b8220
13,OK,7f,1425b8360,OK,80,1425b8460
14,OK,72,1425b8580,OK,73,1425b8720
15,OK,74,1425b8840,OK,76,1425b8a00
16,OK,75,1425b8ad0,OK,77,1425b8cc0
17,OK,78,1425b8e00,OK,79,1425b8ef0
18,OK,7a,1425b8f90,OK,34,1425b9150
19,OK,35,1425b9240,OK,38,1425b9480
20,OK,39,1425b95f0,OK,3b,1425b99a0
21,OK,3a,1425b9790,OK,3d,1425b9b40
22,OK,3e,1425b9cb0,OK,3f,1425b9d30
23,OK,40,1425b9ef0,OK,41,1425ba040
24,OK,42,1425ba0c0,OK,44,1425ba1e0
25,OK,45,1425ba2b0,OK,46,1425ba5b0
26,OK,47,1425ba630,OK,48,1425ba7d0
27,OK,49,1425bb5d0,OK,4a,1425bb6f0
28,OK,4b,1425bb840,OK,81,1425ba990
29,OK,82,1425baae0,OK,83,1425bac20
30,OK,84,1425bad40,OK,85,1425badc0
31,OK,86,1425baf10,OK,4d,1425bb030
32,OK,4e,1425bb170,OK,4f,1425bb3f0
33,OK,50,1425bb9b0,OK,51,1425bbaf0
34,OK,52,1425bbc10,OK,53,1425bbd50
35,OK,54,1425bbee0,OK,55,1425bc070
36,OK,56,1425bc160,OK,57,1425bc2d0
37,OK,59,1425bc560,OK,58,1425bc3f0
38,OK,5a,1425bc680,OK,5b,1425bc840
39,OK,5c,1425bc8e0,OK,5d,1425bc980
40,OK,5e,1425bcb20,OK,5f,1425bcc20
41,OK,60,1425bcd10,OK,61,1425bce10
42,OK,62,1425bcf30,OK,63,1425bd110
43,OK,64,1425bd3a0,OK,65,1425bd5b0
